Numero,Voie,Code_Postal,Ville,Latitude,Longitude,Distance_Centre_m,PJ_Titre,PJ_Telephone,BDNB_Annee,BDNB_DPE,Entreprise_Nom,Entreprise_Categorie,Entreprise_Telephones,Entreprise_Emails,Entreprise_Sites,SIREN,SIRET,NAF,Proprietaire_Nom,Proprietaire_Role,Surface_Toiture_m2,Surface_Parking_m2,Annee_Construction_OSM
2,Rocade Sud,38240,Meylan,45.212418,5.788457,99,,,,,Ecole maternelle Les Béalières,,,,,,,,,,17245.4,4439.3,
3,Rocade Sud,38240,Meylan,45.212222,5.787442,16,,,,,Claire Blanc,,,,,884197518,,86.90D,CLAIRE BLANC (SOLLE),,16711.8,5189.5,
4,Rocade Sud,38240,Meylan,45.212693,5.78958,192,,,,,Failliet Emmanuel,,,,,410834154,,49.41A,EMMANUEL FAILLIET,Gérant,21777.7,1384.6,
7,Rocade Sud,38240,Meylan,45.212572,5.788719,124,,,,,Restaurant Scolaire Béalières,,,,,,,,,,18871.6,4341.3,
10,Rocade Sud,38240,Meylan,45.212805,5.79022,243,,,,,Bibliothèque Des Béalières,,,,,,,,,,21070.6,4368.4,
13,Rocade Sud,38240,Meylan,45.212838,5.789684,205,,,,,Mouney Le Ferrailleur,,,,,,,,,,18001.9,1155.7,
16,Rocade Sud,38240,Meylan,45.213087,5.791318,335,,,,,Cheminot Eric,,,,,514268200,,62.02A,ERIC CHEMINOT,,24003.1,5090.7,
1,Avenue du Taillefer,38240,Meylan,45.214912,5.782477,482,"Lycée polyvalent du Grésivaudan Meylan (adresse, horaires)",04 76 90 30 53,2000,,Lycée polyvalent du Grésivaudan,,,,,193828639,,85.31Z,,,5196.3,3468.5,
6,Allée du Marais,38240,Meylan,45.211866,5.78532,155,"Perroy Philippe Meylan - Conseils en gestion, management (adresse, horaires)",04 76 90 71 24,,D,Perroy Philippe,,,,,793922295,,70.22Z,PHILIPPE PERROY,,16971.0,6182.3,
12,Chemin de Malacher,38240,Meylan,45.209102,5.787392,342,"GEA Grenobloise d'Electronique et d'Automatismes Meylan - Matériel d'électronique (adresse, horaires)",04 76 90 72 72,,,GEA Grenobloise d'Electronique et d'Automatismes,,,,,071501803,,26.20Z,SERGE ZASLAVOGLOU,Président du conseil de surveillance,25389.4,15415.8,
13,Chemin de Malacher,38240,Meylan,45.209842,5.78675,262,"SAMES KREMLIN Meylan - Traitement de surfaces (adresse, horaires)",04 76 41 60 60,,,SAMES KREMLIN,,,,,,,,,,24921.8,14447.6,
16,Chemin de Malacher,38240,Meylan,45.208654,5.78771,393,"KW Révolution Meylan - Agence immobilière (adresse, horaires)",04 28 70 49 47,2015,,KW Révolution,,,,,,,,,,26926.8,15599.1,
4,Granier,38240,Meylan,45.209858,5.780333,600,"Espace Musical G Baudry Meylan - Cours de musique, cours de chant (adresse, horaires)",04 76 90 62 02,,,Espace Musical G Baudry,,,,,,,,,,12147.0,8798.2,
7,Granier,38240,Meylan,45.209528,5.780646,595,"Bellet & Behr SAS Meylan - Huissiers de justice (adresse, horaires)",04 58 00 12 02,1985,,Bellet & Behr SAS,,,,,,,,,,11544.1,9485.9,
8,Granier,38240,Meylan,45.21041,5.78378,335,"Catherine Girard Meylan - Psychologue (adresse, horaires)",06 16 87 29 05,,,Catherine Girard,,,,,442866547,,86.90E,CATHERINE GIRARD,,16562.7,11085.2,
12,Granier,38240,Meylan,45.211695,5.788926,142,"Archives Municipales Meylan (adresse, horaires)",04 76 41 16 25,,,Archives Municipales,office=government,+33476411625,archives-municipales@meylan.fr,https://www.meylan.fr/63-les-archives.htm,,,,,,16055.4,7692.1,
15,Granier,38240,Meylan,45.209654,5.783088,430,"VERISURE Meylan - Systèmes d'alarme (adresse, horaires, avis)",,,,VERISURE,,,,,345006027,,80.20Z,OLIVIER ALLENDER,Président de SAS,16360.2,10207.7,
17,Granier,38240,Meylan,45.209428,5.783114,445,"Socomec Meylan - Matériel d'électricité (adresse, horaires)",04 76 90 52 53,,,Cotranet,,,,,894302488,,58.29C,,,17419.5,10222.8,
19,Granier,38240,Meylan,45.209316,5.783429,436,"3A Audit & Finances - Expert comptable à Meylan 38240 (adresse, horaires)",04 76 00 75 75,,,3A Audit & Finances,,,,,494972284,,69.20Z,SANDRA RUFFINATTO,Gérant,18470.4,11870.6,
25,Granier,38240,Meylan,45.210007,5.784234,337,"ETC Group Meylan - Formation professionnelle (adresse, horaires)",04 76 59 19 80,2008,,ETC Group,,,,,,,,,,23139.4,12897.8,
27,Granier,38240,Meylan,45.209457,5.784555,368,"JKD Peinture Meylan - Entreprise de peinture (adresse, horaires)",07 82 98 89 27,2018,C,JKD Peinture,,,,,,,,,,25645.4,14025.5,
31,Granier,38240,Meylan,45.210275,5.785215,264,"Marion maquillage permanent Meylan - Institut de beauté (adresse, horaires)",06 86 21 13 99,2021,,Marion maquillage permanent,,,,,,,,,,25602.9,13357.0,
35,Granier,38240,Meylan,45.210076,5.785148,285,"Le Square Meylan - Restaurant (adresse, horaires, avis)",04 76 90 43 61,1990,,Le Square,amenity=restaurant,+33476904361,contact@le-square-restaurant.fr,,378336143,,68.31Z,ERIC LEBRAT,Président de SAS,24801.0,12716.4,
37,Granier,38240,Meylan,45.210423,5.786068,216,"Jean Breuneval Meylan - Chirurgien-dentiste, orthodontiste (adresse, horaires)",04 76 18 56 11,1991,,Jean Breuneval,,,,,434048922,,68.20A,JEAN BREUNEVAL,,26852.2,12852.1,
12,Malacher,38240,Meylan,45.209102,5.787392,342,"GEA Grenobloise d'Electronique et d'Automatismes Meylan - Matériel d'électronique (adresse, horaires)",04 76 90 72 72,,,GEA Grenobloise d'Electronique et d'Automatismes,,,,,071501803,,26.20Z,SERGE ZASLAVOGLOU,Président du conseil de surveillance,25389.4,15415.8,
13,Malacher,38240,Meylan,45.209842,5.78675,262,"SAMES KREMLIN Meylan - Traitement de surfaces (adresse, horaires)",04 76 41 60 60,,,SAMES KREMLIN,,,,,,,,,,24921.8,14447.6,
16,Malacher,38240,Meylan,45.208654,5.78771,393,"KW Révolution Meylan - Agence immobilière (adresse, horaires)",04 28 70 49 47,2015,,KW Révolution,,,,,,,,,,26926.8,15599.1,
6,Rue Saint-Vincent Porte La Tine,38240,Meylan,45.2141,5.786599,220,"Evangelia Andriamanantena Meylan - Psychanalyste (adresse, horaires)",04 76 41 08 00,,,Evangelia Andriamanantena,,,,,495229809,,88.99B,EVANGELIA ANDRIAMANANTENA (HASSANIDOU),,20755.2,4447.2,
2,Allée de la Roselière,38240,Meylan,45.21403,5.78418,317,"Anne Motton Meylan - Masseur kinésithérapeute (adresse, horaires)",06 45 19 40 69,1988,C,Anne Motton,,,,,530803329,,86.90E,ANNE MOTTON,,13291.7,3098.4,
12,Allée de la Roselière,38240,Meylan,45.213206,5.784713,229,"Bonnevie Thierry Meylan - Clubs de sport (adresse, horaires)",04 76 41 01 48,1988,D,Bonnevie Thierry,,,,,317830065,,85.51Z,THIERRY BONNEVIE,,16864.1,3613.9,
16,Allée de la Roselière,38240,Meylan,45.212751,5.785289,166,"DIGITRAVAIL Meylan - Matériel de reprographie (adresse, horaires)",06 18 26 37 47,,D,DIGITRAVAIL,,,,,940037575,,46.51Z,FLORIAN POUGHEON,Président de SAS,18086.8,3444.9,
6,Chemin du Vieux Chêne,38240,Meylan,45.207752,5.783905,557,"BANQUE POPULAIRE AUVERGNE RHONE ALPES Meylan - Banque (adresse, horaires)",04 38 88 46 19,2003,,BANQUE POPULAIRE AUVERGNE RHONE ALPES,,,,,605520071,,64.19Z,LIONEL BAUD,Président du conseil d'administration,19281.7,14653.2,
7,Chemin du Vieux Chêne,38240,Meylan,45.20716,5.784612,595,"Gilles Trignat Résidences  Meylan (adresse, horaires, avis)",04 76 15 21 21,1991,,Gilles Trignat Résidences,office=developer,+33476152121,,https://www.trignat.fr/,397947433,,41.10A,,,18146.8,13999.2,
10,Chemin du Vieux Chêne,38240,Meylan,45.207666,5.784331,551,"OT Engineering Meylan - Travaux publics (adresse, horaires)",04 76 18 95 97,,,OT Engineering,office=company,,,,414041236,,42.22Z,,,29369.0,12753.7,
12,Chemin du Vieux Chêne,38240,Meylan,45.207471,5.784581,563,"Comfort Hôtel Grenoble Meylan - Hôtel (adresse, horaires)",04 76 90 76 90,,,Comfort Hôtel Grenoble,,,,,,,,,,28197.5,13635.1,
16,Chemin du Vieux Chêne,38240,Meylan,45.207452,5.786754,527,"Altiprom Meylan - Promoteur immobilier (adresse, horaires)",06 18 81 32 70,,,Altiprom,,,,,838618734,,41.10A,MARTIN SCHMITT,Directeur Général,25078.7,21115.2,
18,Chemin du Vieux Chêne,38240,Meylan,45.207765,5.788905,507,"Elior Restauration Entreprises Meylan - Restaurant d'entreprise (adresse, horaires, avis)",04 76 90 84 10,2021,,Elior Restauration Entreprises,,,,,,,,,,17544.3,21768.5,2022
19,Chemin du Vieux Chêne,38240,Meylan,45.206821,5.787347,595,"DI-SORIC SAS Meylan - Matériel d'électronique (adresse, horaires)",04 76 61 65 90,,,DI-SORIC SAS,,,,,529280828,,27.90Z,CARSTEN GOHLKE,Président de SAS,15312.0,17082.8,
20,Chemin du Vieux Chêne,38240,Meylan,45.208099,5.789188,478,"O'Chêne Meylan - Restaurant d'entreprise (adresse, horaires)",04 76 90 44 87,,,O'Chêne,amenity=restaurant,+33476904487,,https://fr.restaurantguru.com/Restaurant-inter-entreprises-OChene-Elior-Meylan,834895930,,56.21Z,SAMI CHRIQUI,,17526.1,17626.1,2022
23,Chemin du Vieux Chêne,38240,Meylan,45.207953,5.790054,518,"Framatome Grenoble Meylan - Editeurs de logiciels (adresse, horaires)",04 76 61 15 00,2016,,Framatome Grenoble,,,,,433681525,,27.12Z,FRÉDÉRIC LELIEVRE,Président de SAS,14202.0,12184.4,2022
